Frame 1, Processing Time: 206.14ms, FPS: 0.11, Detected People: 39
Frame 2, Processing Time: 185.50ms, FPS: 0.13, Detected People: 41
Frame 3, Processing Time: 191.93ms, FPS: 0.14, Detected People: 38
Frame 4, Processing Time: 182.50ms, FPS: 0.14, Detected People: 40
Frame 5, Processing Time: 184.83ms, FPS: 0.14, Detected People: 39
Frame 6, Processing Time: 185.50ms, FPS: 0.12, Detected People: 40
Frame 7, Processing Time: 186.17ms, FPS: 0.13, Detected People: 38
Frame 8, Processing Time: 207.17ms, FPS: 0.14, Detected People: 38
Frame 9, Processing Time: 197.88ms, FPS: 0.14, Detected People: 37
Frame 10, Processing Time: 229.04ms, FPS: 0.13, Detected People: 38
Frame 11, Processing Time: 217.16ms, FPS: 0.13, Detected People: 37
Frame 12, Processing Time: 214.30ms, FPS: 0.12, Detected People: 39
Frame 13, Processing Time: 206.33ms, FPS: 0.14, Detected People: 36
Frame 14, Processing Time: 196.68ms, FPS: 0.13, Detected People: 39
Frame 15, Processing Time: 203.47ms, FPS: 0.13, Detected People: 36
Frame 16, Processing Time: 245.81ms, FPS: 0.13, Detected People: 35
Frame 17, Processing Time: 196.59ms, FPS: 0.14, Detected People: 35
Frame 18, Processing Time: 182.94ms, FPS: 0.15, Detected People: 38
Frame 19, Processing Time: 180.54ms, FPS: 0.15, Detected People: 35
Frame 20, Processing Time: 178.89ms, FPS: 0.15, Detected People: 37
Frame 21, Processing Time: 207.23ms, FPS: 0.15, Detected People: 34
Frame 22, Processing Time: 201.07ms, FPS: 0.14, Detected People: 34
Frame 23, Processing Time: 201.37ms, FPS: 0.15, Detected People: 34
Frame 24, Processing Time: 199.59ms, FPS: 0.14, Detected People: 34
Frame 25, Processing Time: 261.09ms, FPS: 0.12, Detected People: 35
Frame 26, Processing Time: 198.26ms, FPS: 0.13, Detected People: 37
Frame 27, Processing Time: 189.59ms, FPS: 0.13, Detected People: 36
Frame 28, Processing Time: 204.12ms, FPS: 0.14, Detected People: 35
Frame 29, Processing Time: 183.59ms, FPS: 0.14, Detected People: 35
Frame 30, Processing Time: 180.33ms, FPS: 0.15, Detected People: 35
Frame 31, Processing Time: 179.34ms, FPS: 0.15, Detected People: 35
Frame 32, Processing Time: 185.08ms, FPS: 0.17, Detected People: 32
Frame 33, Processing Time: 205.62ms, FPS: 0.17, Detected People: 32
Frame 34, Processing Time: 179.84ms, FPS: 0.16, Detected People: 33
Frame 35, Processing Time: 183.17ms, FPS: 0.18, Detected People: 31
Frame 36, Processing Time: 178.33ms, FPS: 0.17, Detected People: 33
Frame 37, Processing Time: 178.23ms, FPS: 0.16, Detected People: 35
Frame 38, Processing Time: 179.20ms, FPS: 0.16, Detected People: 33
Frame 39, Processing Time: 179.13ms, FPS: 0.15, Detected People: 37
Frame 40, Processing Time: 206.65ms, FPS: 0.14, Detected People: 39
Frame 41, Processing Time: 200.62ms, FPS: 0.14, Detected People: 36
Frame 42, Processing Time: 190.35ms, FPS: 0.15, Detected People: 36
Frame 43, Processing Time: 188.92ms, FPS: 0.13, Detected People: 37
Frame 44, Processing Time: 216.04ms, FPS: 0.15, Detected People: 34
Frame 45, Processing Time: 187.78ms, FPS: 0.14, Detected People: 34
Frame 46, Processing Time: 194.73ms, FPS: 0.01, Detected People: 35
Frame 47, Processing Time: 221.21ms, FPS: 0.13, Detected People: 37
Frame 48, Processing Time: 401.44ms, FPS: 0.13, Detected People: 37
Frame 49, Processing Time: 198.36ms, FPS: 0.13, Detected People: 38
